X0 dyn,X0 lin,X0 diff,X1 dyn,X1 lin,X1 diff,X2 dyn,X2 lin,X2 diff,X3 dyn,X3 lin,X3 diff,X4 dyn,X4 lin,X4 diff,X5 dyn,X5 lin,X5 diff,X6 dyn,X6 lin,X6 diff,X7 dyn,X7 lin,X7 diff,X8 dyn,X8 lin,X8 diff,X9 dyn,X9 lin,X9 diff,X10 dyn,X10 lin,X10 diff,X11 dyn,X11 lin,X11 diff,X12 dyn,X12 lin,X12 diff,X13 dyn,X13 lin,X13 diff,X14 dyn,X14 lin,X14 diff,X15 dyn,X15 lin,X15 diff,
-0.56306,-0.563916,-0.000855863,-0.643481,-0.647775,-0.00429332,0.459511,0.458749,-0.000762463,-2.44029,-2.44457,-0.00428057,0.287,0.288222,0.00122169,0.244336,0.243574,-0.000762045,-0.296996,-0.297394,-0.00039807,0.00176315,-0.016351,-0.0181142,0.0864414,0.0582978,-0.0281436,0.0347983,0.0364037,0.00160543,0.0276834,0.0530934,0.0254099,-0.0226776,0.0329119,0.0555895,0.0191166,0.0840002,0.0648836,2.23159e-06,-0.00562656,-0.00562879,0.432488,0.433082,0.000594765,-0.000250935,-0.000249346,1.58828e-06,
-0.562995,-0.56384,-0.000844836,-0.640045,-0.644057,-0.00401187,0.460891,0.460201,-0.000689983,-2.43917,-2.44314,-0.00397468,0.286092,0.287337,0.0012452,0.245133,0.244304,-0.000828683,-0.296996,-0.297394,-0.00039804,0.00165189,-0.0166432,-0.0182951,0.0859722,0.0571381,-0.028834,0.0343784,0.0360843,0.00170584,0.0283334,0.0538734,0.02554,-0.0226077,0.0332925,0.0559002,0.0203574,0.0850733,0.0647159,2.31492e-06,-0.00564978,-0.00565209,0.432483,0.433075,0.000591546,-0.000251833,-0.000250935,8.98755e-07,
-0.562934,-0.563776,-0.000842035,-0.636627,-0.640873,-0.00424641,0.462254,0.461532,-0.000722259,-2.43802,-2.44235,-0.00432873,0.285187,0.286434,0.00124678,0.245978,0.245103,-0.000875562,-0.296996,-0.297393,-0.000397325,0.00154123,-0.0169262,-0.0184675,0.0855163,0.0571385,-0.0283778,0.0339658,0.0363168,0.002351,0.0289631,0.0548052,0.0258421,-0.0225416,0.0336618,0.0562034,0.0215441,0.0860723,0.0645281,2.39539e-06,-0.00567287,-0.00567526,0.432481,0.433071,0.000589728,-0.000252346,-0.000251833,5.12402e-07,
-0.562878,-0.563469,-0.000590682,-0.633226,-0.637312,-0.00408614,0.463602,0.462948,-0.000653952,-2.43684,-2.4412,-0.00435114,0.284285,0.285695,0.00141016,0.246869,0.245933,-0.000935763,-0.296996,-0.297394,-0.00039798,0.00143121,-0.017226,-0.0186572,0.0850735,0.0567123,-0.0283612,0.0335604,0.0353978,0.00183744,0.0295733,0.0555909,0.0260176,-0.0224791,0.0338037,0.0562828,0.0226787,0.0870268,0.0643481,2.4731e-06,-0.00569597,-0.00569844,0.43248,0.433068,0.000588685,-0.000252639,-0.000252346,2.93367e-07,
-0.562826,-0.563664,-0.000838161,-0.629843,-0.634045,-0.00420165,0.464933,0.464242,-0.000690848,-2.43565,-2.44002,-0.00437856,0.283385,0.28459,0.00120512,0.247804,0.246825,-0.000979677,-0.296996,-0.297394,-0.00039795,0.00132189,-0.0175103,-0.0188322,0.0846432,0.055146,-0.0294972,0.0331618,0.0356742,0.00251237,0.0301647,0.0561499,0.0259851,-0.0224201,0.0340918,0.0565119,0.023763,0.0879808,0.0642179,2.54815e-06,-0.00571884,-0.00572139,0.432479,0.433067,0.000588089,-0.000252807,-0.000252639,1.68337e-07,
-0.562778,-0.563509,-0.000730991,-0.626477,-0.630404,-0.00392652,0.466248,0.465629,-0.000619739,-2.43443,-2.43882,-0.00439405,0.282487,0.283688,0.00120133,0.248781,0.247802,-0.000979185,-0.296996,-0.297393,-0.000397921,0.00121331,-0.0177888,-0.0190021,0.084225,0.0546333,-0.0295917,0.03277,0.0353707,0.00260063,0.0307379,0.0570674,0.0263294,-0.0223642,0.0342476,0.0566118,0.0247987,0.089087,0.0642884,2.62065e-06,-0.00574182,-0.00574444,0.432478,0.433066,0.000587761,-0.000252904,-0.000252807,9.67702e-08,
-0.562735,-0.563321,-0.000586212,-0.623127,-0.627034,-0.00390667,0.467548,0.466945,-0.00060305,-2.43318,-2.4376,-0.00441456,0.281592,0.282864,0.00127208,0.249798,0.248759,-0.00103974,-0.296995,-0.297393,-0.000397861,0.00110551,-0.018072,-0.0191775,0.0838186,0.0542396,-0.029579,0.0323848,0.0350511,0.00266637,0.0312935,0.0577392,0.0264457,-0.0223112,0.0345396,0.0568509,0.0257875,0.0899116,0.0641242,2.69069e-06,-0.00576462,-0.00576731,0.432478,0.433066,0.000587583,-0.000252959,-0.000252904,5.56465e-08,
-0.562696,-0.563521,-0.000825107,-0.619793,-0.62393,-0.00413704,0.468833,0.468193,-0.000640273,-2.43192,-2.43635,-0.00443411,0.280698,0.281892,0.00119418,0.250854,0.249757,-0.00109714,-0.296995,-0.297393,-0.000397891,0.000998529,-0.0183441,-0.0193427,0.0834235,0.0536705,-0.029753,0.0320059,0.0347715,0.00276555,0.0318321,0.0582627,0.0264307,-0.0222611,0.0346778,0.0569389,0.0267311,0.0907103,0.0639792,2.75838e-06,-0.00578722,-0.00578998,0.432478,0.433065,0.000587463,-0.000252991,-0.000252959,3.20433e-08,
-0.562661,-0.563478,-0.000816464,-0.616475,-0.620593,-0.00411838,0.470103,0.469477,-0.000626117,-2.43063,-2.43508,-0.00445342,0.279807,0.281025,0.00121832,0.251946,0.251218,-0.000727743,-0.296995,-0.297393,-0.000397831,0.000892406,-0.0186339,-0.0195263,0.0830393,0.0531746,-0.0298647,0.0316332,0.0345029,0.00286966,0.0323542,0.0586365,0.0262823,-0.0222134,0.0350643,0.0572777,0.027631,0.0916291,0.0639981,2.8238e-06,-0.00580916,-0.00581198,0.432478,0.433065,0.000587404,-0.00025301,-0.000252991,1.84809e-08,
-0.562631,-0.563447,-0.000816643,-0.613172,-0.617269,-0.00409734,0.471358,0.470746,-0.000611663,-2.42932,-2.43379,-0.00447178,0.278917,0.280138,0.00122055,0.253072,0.252315,-0.000757754,-0.296995,-0.297393,-0.000397861,0.000787177,-0.0189157,-0.0197028,0.0826658,0.0527105,-0.0299553,0.0312666,0.0343367,0.00307005,0.0328605,0.0595643,0.0267038,-0.0221682,0.0351419,0.0573102,0.0284889,0.092048,0.0635591,2.88704e-06,-0.00583167,-0.00583456,0.432478,0.433065,0.000587374,-0.00025302,-0.00025301,1.0652e-08,
